participant_id	Task_order	Task_difficulty_nback	Task_difficulty_SST	Task_difficulty_card	Task_difficulty_gradCPT	Task_difficulty_eyes	Task_difficulty_movie	Task_engagement_wm	Task_engagement_SST	Task_engagement_card	Task_engagement_gradCPT	Task_engagement_eyes	Task_engagement_movies	SleepRuns	eyes_words_DK
sub-pa1319	6,5,3,2,7,4,1	2	1	2	1	3	1	4	3	3	3	3	5	SST	despondent
sub-pa1324	2,1,5,3,6,4	1	2	2	2	2	1	5	5	5	5	5	5	n/a	aghast, incredulous
sub-pa1327	4,3,6,1,2,5	5	5	5	5	3	1	3	3	3	3	4	5	n/a	aghast, defiant, despondent, dispirited, dubious, earnest, indifferent, tentative
sub-pa1377	4,5,1,2,6,3	5	2	4	2	3	1	5	4	4	4	5	5	n/a	aghast, imploring
sub-pa1417	3,2,6,4,1,5	4	3	5	2	4	1	3	5	3	4	4	3	R1	n/a
sub-pa1419	1,2,3,4,6,5	5	2	2	2	3	1	5	4	4	4	4	3	n/a	dubious, imploring, pensive
sub-pa1437	5,2,1,3,4,6	3	2	3	4	5	1	4	5	3	2	3	5	n/a	dispirited, incredulous, pensive
sub-pa1439	2,6,5,3,4,1	3	3	5	2	4	1	3	5	4	5	2	5	n/a	aghast, despondent, tentative
sub-pa1461	4,2,6,1,5,3	5	3	2	3	4	1	5	5	3	5	4	2	card guessing, movies, R2	despondent, incredulous
sub-pa1481	2,1,5,6,4,3	4	2	3	1	4	1	3	4	5	2	3	1	R1, R2	contented, dubious, incredulous
sub-pa1484	6,1,3,4,2,5	5	2	5	2	3	1	5	5	5	3	5	5	n/a	despondent, incredulous
sub-pa1523	6,2,5,3,1,4	4	1	3	2	2	1	5	3	5	5	5	4	n/a	n/a
sub-pa1570	4,2,3,1,5,6	4	5	5	4	3	1	4	4	5	4	5	5	n/a	despondent, imploring, incredulous, pensive
sub-pa1575	5,1,2,3,4,6	4	3	5	3	2	1	5	5	2	4	5	4	n/a	incredulous
sub-pa1591	3,5,1,6,4,2	5	2	1	3	5	1	5	5	3	5	5	3	n/a	n/a
sub-pa1615	3,1,5,4,6,2	3	2	1	3	1	1	5	4	4	4	5	4	n/a	n/a
sub-pa1628	1,5,4,6,2,3	3	1	4	2	3	1	3	2	1	1	1	1	n/a	aghast, dispirited, incredulous
sub-pa1631	4,6,3,1,5,2	5	3	4	3	5	1	4	3	4	2	4	3	R1, R2	despondent
sub-pa1650	5,4,1,3,2,6	4	2	3	2	3	1	5	5	4	5	4	3	n/a	n/a
sub-pa1693	5,2,4,6,3,1	3	2	3	2	3	1	4	4	4	4	4	3	Nback, movies, R1	aghast, assertive, baffled, bewildered, defiant, dubious, fascin/ated, flirtatious, flustered, indifferent, intrigued, perplexed, puzzled, sarcastic, skeptical, stern, threatening
sub-pa1705	7,6,5,4,3,2,1	4	3	5	3	2	1	4	4	3	3	5	5	n/a	despondent, dispirited, pensive, tentative
sub-pa1710	1,6,2,3,4,5	5	1	2	2	3	1	1	5	3	3	4	5	SST, gradCPT, eyes, R1, R2	aghast, despondent, dubious
sub-pa1731	1,6,3,2,5,4	3	2	3	4	4	1	5	2	4	3	3	2	n/a	n/a
sub-pa1736	2,1,3,4,6,5	3	2	2	2	5	1	2	3	3	4	1	2	Nback, R2	aghast, despondent, dubious, imploring
sub-pa1760	6,2,4,1,3,5	5	1	1	4	2	1	4	4	4	3	5	5	Nback, R1	n/a
sub-pa1812	6,4,5,3,2,1	3	1	1	1	4	1	3	4	2	4	3	5	n/a	aghast, despondent, incredulous
sub-pa1849	4,1,2,6,5,3	5	1	3	2	2	1	5	4	2	3	5	3	R1	n/a
sub-pa1867	4,2,3,6,1,5	5	2	5	2	2	1	5	5	2	5	5	5	R1	incredulous
sub-pa1870	1,3,5,4,2,6	5	1	5	1	5	1	5	5	5	5	5	1	R1	despondent, incredulous
sub-pa1886	6,4,2,1,5,3	5	3	3	5	2	1	3	3	3	3	3	3	n/a	n/a
sub-pa1897	3,1,2,5,4,6	4	3	2	1	1.5	1	3	5	5	5	5	3	n/a	despondent, imploring, incredulous
sub-pa1903	3,4,1,6,2,5	5	2	3	2	3	1	4	4	4	4	4	4	n/a	incredulous
sub-pa1941	3,6,2,4,5,1	4	1	5	5	5	1	5	5	1	5	5	5	card guessing	incredulous
sub-pa1947	2,4,1,3,6,5	2	4	5	3	3	1	5	5	2	4	3	2	n/a	despondent, incredulous
sub-pa1970	6,3,5,2,4,1	5	2	3	2	3	1	5	5	5	5	5	5	R1	aghast, contemplative, contented, dubious, imploring, incredulous
sub-pa2012	1,3,6,5,2,4	3	2	2	2	1	1	3	2	2	2	1	1	Nback	aghast, contemplative, dispirited, dubious, imploring, incredulous, pensive, perplexed, tentative
sub-pa2014	4,6,5,3,2,1,	4	4	4	3	3	3	5	5	5	5	5	5	n/a	aghast, incredulous
sub-pa2028	6,4,3,1,5,2	5	2	4	4	4	1	5	5	5	5	5	5	R1, R2	aghast, imploring
sub-pa2033	1,4,6,5,2,3	4	2	3	1	1	1	3	5	4	5	5	5	n/a	despondent, deubious, incredulous, tentative
sub-pa2039	1,5 2,3,4,6	4	1	3	3	1	1	4	5	5	5	4	5	n/a	aghast, despondent, dispirited, dubious, earnest, flustered, imploring, incredulous
sub-pa2059	2,6,1,3,4,5	3	3	4	2	4	1	3	3	3	3	3	3	R1	incredulous
sub-pa2061	2,3,1,4,5,6	4	3	2	4	2	1	4	5	4	4	4	2	Nback, SST, card guessing, gradCPT, eyes, movies, R1, R2	n/a
sub-pa2064	6,5,3,1,2,4	n/an	n/an	n/an	n/an	n/an	n/an	n/an	n/an	n/an	n/an	n/an	n/an	n/an	aghast, contemplative, dubious, incredulous, pensive
sub-pa2107	6,1,3,2,4,5	2	1	3	2	5	1	4	5	3	4	2	5	n/a	aghast, dubious, incredulous, pensive, tentative
sub-pa2129	5,1,4,6,2,3	1	1	1	1	1	1	4	4	4	4	4	4	eyes, R1	pensive
sub-pa2132	6,3,4,2,1,5	1	4	3	1	1	1	2	1	4	4	5	5	n/a	aghast, despondent, imploring, incredulous
sub-pa2176	6,3,2,5,4,1	1	1	3	1	1	1	4	5	4	5	5	5	n/a	n/a
sub-pa2207	7,6,5,4,3,2,1	3	4	3	4	2	1	3	5	4	5	3	3	n/a	aghast, dubious, imploring, incredulous, pensive
sub-pa2214	3,6,4,2,5,1	3	2	3	2	3	1	4	4	4	3	4	5	n/a	n/a
sub-pa2241	3,1,5,2,6,4	4	2	5	3	4	1	2	5	3	4	2	5	R2	aghast, apologetic, bewildered, contented, dubious, eager, earnest, imploring, incredulous, insisting, insulting, intrigued, pensive, perplexed, sympathetic
sub-pa2247	6,2,1,4,3,5	3	1	5	2	1	1	4	4	4	4	4	5	n/a	n/a
sub-pa2267	3,1,2,6,5,4	4	2	1	2	2	1	3	3	2	5	3	5	R2	n/a
sub-pa2274	4,5,6,2,1,3	n/an	n/an	n/an	n/an	n/an	n/an	n/an	n/an	n/an	n/an	n/an	n/an	n/an	aghast, despondent, dubious, pensive
sub-pa2294	6,5,2,3,4,1	3	3	4	1	3	1	2	2	2	3	2	5	movies, R1, R2	aghast, dubious
sub-pa2315	5,4,3,2,6,1	3	1	3	2	1	1	4	4	4	4	4	4	n/a	n/a
sub-pa2321	6,4,1,3,5,2	4	3	5	3	5	1	3	5	3	5	3	5	n/a	incredulous, pensive
sub-pa2357	6,5,1,2,3,4	5	1	3	2	3	1	4	5	2	5	5	4	n/a	despondent,imploring, incredulous
sub-pa2376	6,1,3,5,4,2	3	2	5	2	3	1	4	3	3	3	4	2	R1	n/a
sub-pa2391	1,2,5,3,4,6	3	1	5	2	4	1	4	3	5	4	5	2	n/a	despondent, dispirited, imploring, tentative
sub-pa2465	6,4,2,5,1,3	1	1	4	1	1	1	1	1	4	1	1	1	n/a	aghast
sub-pa2471	1,4,6,3,5,2	5	1	1	1	1	1	4	4	1	4	3	5	n/a	despondent, incredulous
sub-pa2475	6,3,1,4,2,5	5	3	4	1	2	1	1	2	4	5	2	4	n/a	aghast,baffled,contemplative,contented,despondent,dubious,flustered,incredulous,pensive
sub-pa2526	1,3,6,4,2,5	5	3	1	4	3	1	5	3	3	4	5	4	n/a	n/a
sub-pa2531	2,5,3,6,1,4	5	3	3	2	2	1	4	5	3	5	5	2	R1, R2	n/a
sub-pa2550	1,2,4,3,5,6	2	2	2	2	3	2	4	4	3	4	3	4	gradCPT, R2	n/a
sub-pa2554	6,1,5,4,3,2	2	1	3	4	2	1	2	1	3	4	2	1	n/a	aghast, despondent,dubious
sub-pa2572	2,3,1,5,6,4	5	1	2	1	1	1	4	5	2	4	2	1	n/a	defiant, flustered,imploring,incredulous,pensive,perplexed
sub-pa2586	3,5,6,4,1,2	2	2	2	3	5	1	5	5	3	4	5	4	n/a	imploring
sub-pa2591	2,5,4,6,3,1	4	2	5	2	4	1	4	4	1	4	5	5	n/a	imploring
sub-pa2629	6,3,2,5,1,4	5	2	5	3	3	1	3	4	1	3	5	2	n/a	n/a
sub-pa2654	5,1,3,2,6,4	2	3	4	3	2	1	4	3	1	3	2	2	n/a	aghast, dubious, imploring, incredulous,
sub-pa2696	4,1,3,5,6,2	5	3	3	5	2	1	2	2	2	2	2	4	R1, NBack, gradCPT, R2	aghast, contemplative, contented, defiant, despondent, dispirited, dubious, incredulous
sub-pa2706	5,1,6,3,2,4	4	1	1	4	4	1	5	5	5	5	5	1	eyes, R1, R2	n/a
sub-pa2762	5,3,6,4,1,2	1	1	1	1	1	1	4	3	3	3	3	3	SST, gradCPT, movies, R1, R2	imploring, incredulous
sub-pa2847	3,2,6,1,4,5	4	2	1	2	2	1	2	2	1	2	2	3	card guessing	despondent
sub-pa2888	4,3,6,2,5,1	3	3	3	3	3	3	5	5	3	4	2	1	n/a	aghast, despondent,imploring, incredulous
sub-pa2907	4,6,5,2,3,1	4	3	3	3	1	1	5	5	3	3	4	5	card guessing, gradCPT	n/a
sub-pa2910	4,5,6,3,2,1	3	1	1	5	4	1	1	4	4	2	1	5	R1	n/a
sub-pa2925	4,5,3,1,6,2	5	3	3	2	3	1	4	5	3	5	4	5	n/a	despondent,incredulous,tentative
sub-pa2932	3,4,2,6,1,5	5	3	3	4	2	1	4	4	5	5	5	3	n/a	n/a
sub-pa2944	2,4,6,5,1,3	3	3	4	3	3	1	2	4	2	3	4	5	n/a	aghast,despondent,dubious,incredulous,pensive,
sub-pa2950	4,3,5,1,6,2	4	4	2	2	3	1	4	3	3	4	4	4	n/a	n/a
sub-pa2960	2,4,5,1,3,6	5	2	5	1	5	1	2	4	1	4	2	4	n/a	n/a
sub-pa2971	2,3,1,6,5,4	5	4	4	2	1	1	5	5	3	5	5	3	n/a	contented,despondent,incredulous,pensive
sub-pa2985	3,1,2,5,6,4	4	1	5	3	3	1	4	5	3	3	4	1	R1, R2	aghast,apologetic,baffled,bewildered,despondent,dispirited,dubious,pensive,stern
sub-pa2996	5,4,2,3,1,6	2	1	2	5	1	1	3	5	1	2	5	5	n/a	aghast,bewildered,contemplative,despondent,dubious,flustered,incredulous,pensive,perplexed,tentative
sub-pa3004	1,2,3,6,4,5	5	4	3	3	3	1	5	5	3	5	4	2	n/a	incredulous
sub-pa3016	4,2,1,3,5,6	3	1	2	3	2	1	2	1	1	2	3	1	R2	aghast,dubious,pensive
sub-pa3024	2,4,6,3,1,5	4	1	1	3	4	1	3	5	5	4	2	5	n/a	dubious,incredulous,intrigued,pensive
sub-pa3153	2,1,5,4,6,3	5	1	5	3	3	1	5	3	5	5	4	5	R2	aghast,apologetic,baffled,bewildered,despondent,dispirited,flirtatious,panicked,pensive,stern
sub-pa3179	6,2,5,1,4,3	5	2	3	2	3	1	3	3	2	2	4	4	n/a	n/a
sub-pa3280	3,6,2,4,1,5	5	2	4	1	5	1	5	5	5	5	3	4	n/a	dubious,incredulous,pensive
sub-pa3311	2,3,5,4,1,6	5	4	4	4	1	1	5	4	3	5	5	3	SST, card guessing, R2	n/a
sub-pa3331	2,5,1,6,4,3	5	2	3	2	4	1	3	4	3	3	3	4	n/a	dubious,earnest
sub-pa3356	3,5,1,2,6,4	5	3	3	2	2	1	4	1	1	2	4	2	n/a	n/a
sub-pa3382	3,6,4,1,5,2	5	4	2	4	3	3	3	4	2	5	4	4	n/a	aghast,defiant
sub-pa3419	4,3,5,1,2,6	5	3	1	3	5	1	4	5	5	5	3	5	n/a	aghast,baffled,despondent,flustered,pensive
sub-pa3429	3,6,4,5,2,1	3	1	4	2	1	1	5	4	5	3	3	4	n/a	incredulous
sub-pa3462	4,6,1,2,3,5	4	3	1	3	3	1	5	4	3	4	5	3	n/a	n/a
sub-pa3504	2,4,3,6,5,1	4	3	4	5	1	1	4	4	2	3	3	4	n/a	n/a
sub-pa3567	5,1,2,6,3,4	4	2	3	3	1	1	5	4	5	3	4	4	n/a	n/a
sub-pa3587	2,5,6,3,4,1	5	2	3	2	5	1	2	4	3	4	1	5	card guessing, R2	aghast,despondent,dubious,imploring,incredulous,pensive
sub-pa3615	3,2,1,5,6,4	5	3	5	2	5	1	5	5	1	3	5	3	n/a	imploring, incredulous
sub-pa3622	6,5,1,4,2,3	3	2	2	2	4	1	3	4	4	4	3	4	n/a	incredulous,pensive,tentative
sub-pa3639	5,2,1,4,6,3	5	2	3	2	2	1	2	4	3	3	2	2	n/a	n/a
sub-pa3658	2,4,1,5,3,6	4	4	3	4	3	1	4	3	3	4	4	5	n/a	n/a
sub-pa3691	6,5,3,2,4,1	5	2	3	1	3	1	3	4	4	3	4	5	R1	n/a
sub-pa3717	1,6,4,5,2,3	4	2	1	1	2	1	4	4	5	4	4	5	n/a	dubious, earnest, incredulous
sub-pa3722	5,4,3,6,2,1	3	3	2	3	4	1	4	4	4	4	4	2	n/a	n/a
sub-pa3736	6,2,1,4,5,3	4	3	2	1	1	1	5	5	3	4	4	4	n/a	n/a
sub-pa3741	6,5,4,2,1,3	4	3	1	5	2	1	4	3	1	5	5	2	n/a	n/a
sub-pa3751	5,3,6,2,4,1	3	2	4	2	5	1	5	4	3	3	5	2	n/a	n/a
sub-pa3822	2,4,6,5,3,1	n/an	n/an	n/an	n/an	n/an	n/an	n/an	n/an	n/an	n/an	n/an	n/an	n/an	n/a
sub-pa3880	1,3,6,2,5,4	5	2	1	3	3	1	5	5	4	5	4	3	n/a	n/a
sub-pa3897	6,4,2,3,5,1	4	1	2	1	4	1	2	5	4	5	3	5	Nback, gradCPT, R2	n/a
sub-pa3914	3,4,6,1,2,5	4	1	1	1	1	1	5	5	5	5	5	5	R1	aghast,amused,assertive,baffled,bewildered,contemplative,defiant,dubious,earnest,perplexed,preoccupied,tentative
sub-pa3917	1,3,2,6,5,4	4	1	2	1	3	1	4	5	4	5	4	5	n/a	aghast,bewildered,despondent
sub-pa3945	3,6,1,2,5,4	5	1	3	1	2	1	2	5	5	5	3	5	n/a	affection/ate,aghast,assertive,baffled,bewildered,contemplative,decisive,defiant,despondent,dispirited,dubious,ernest,imploring,incredulous,indecisive,pensive,perplexed,reassuring,resentful,stern
sub-pa3956	6,3,5,4,1,2	5	4	3	3	1	1	2	4	3	4	5	2	n/a	n/a
sub-pa3960	4,2,6,5,1,3	5	2	4	3	3	1	3	5	5	3	4	5	n/a	n/a
sub-pa3965	1,3,2,6,4,5	2	2	3	3	2	1	2	4	2	4	3	1	n/a	n/a
sub-pa3983	4,6,2,3,1,5	5	2	5	3	4	1	4	3	3	4	5	5	R2	aghats, baffled, reassuring
sub-pa4021	1,6,5,4,3,2	5	1	3	1	3	1	2	5	3	5	4	5	n/a	n/a
sub-pa4039	3,1,4,6,2,5	5	2	5	2	5	1	5	4	5	4	4	1	movies, R1, R2	flustered, incredulous
sub-pa4053	2,6,4,3,1,5	5	1	1	1	1	1	3	5	5	5	5	1	n/a	n/a
sub-pa4063	5,4,1,2,6,3	5	2	4	2	3	1	2	5	4	5	4	5	n/a	aghast,dubious,incredulous
sub-pa4082	3,5,4,1,6,2	4	3	3	4	5	1	5	5	5	5	5	5	n/a	dubious
sub-pa4104	5,6,1,2,3,4	3	4	5	3	4	1	4	5	2	4	5	4	n/a	aghast,contented,dubious
sub-pa4107	4,3,6,2,1,5	3	2	1	3	5	1	3	2	1	3	3	4	n/a	aghast, despondent,dubious
sub-pa4113	5,2,1,3,6,4	4	4	4	2	3	1	4	2	2	4	4	2	SST, card guessing, R1	n/a
sub-pa4123	3,5,1,4,6,2	4	3	3	2	2	1	5	3	2	3	5	4	n/a	n/a
sub-pa4131	2,6,3,5,1,4	4	1	1	2	1	1	4	3	2	5	5	5	n/a	aghast
sub-pa4178	6,5,2,1,3,4	5	1	3	1	3	1	5	1	3	1	3	1	n/a	aghast,contemplative,dubious,pensive
sub-pa4182	5,4,3,2,1,6	4	2	2	2	3	1	4	4	2	5	4	5	n/a	despondent,dubious,earnest,incredulous
sub-pa4196	6,1,2,3,5,4	5	2	4	1	3	1	4	3	3	3	3	2	n/a	n/a
sub-pa4210	1,5,3,2,6,4	3	2	1	4	2	1	4	2	4	5	5	5	n/a	incredulous
sub-pa4218	3,5,2,4,6,1	5	1	5	2	5	1	1	5	2	5	2	5	Nback, eyes, R1, R2	contemplatove,pensive
sub-pa4225	5,6,2,4,1,3	5	2	3	2	4	1	5	5	5	3	5	4	n/a	aghast, contemplative, despondent, dubious, imploring, incredulous, pensive
sub-pa4230	1,2,6,4,3,5	5	3	1	3	1	1	4	2	3	2	5	4	n/a	n/a
sub-pa4253	4,3,2,6,5,1	2	1	3	2	1	1	3	4	4	5	5	2	n/a	n/a
sub-pa4257	5,6,1,4,3,2	4	2	2	1	3	1	5	5	3	4	4	5	n/a	despondent, dispirited
sub-pa4271	3,4,1,5,2,6	1	1	1	1	1	1	1	1	1	1	1	1	n/a	aghast,assertive,incredulous
sub-pa4288	6,3,4,5,2,1	4	4	3	4	4	4	5	5	5	5	5	5	Nback, R1	aghast
sub-pa4299	5,6,3,4,2,1	4	2	1	4	3	1	5	4	1	4	3	2	n/a	n/a
sub-pa4344	1,2,4,6,5,3	5	2	1	1	3	1	5	3	1	4	4	2	n/a	n/a
sub-pa4349	2,4,1,6,5,3	5	3	1	3	3	1	4	4	2	3	4	5	n/a	n/a
sub-pa4365	3,4,1,6,5,2	2	1	1	1	3	1	5	5	5	5	5	2	n/a	n/a
sub-pa4382	6,4,3,2,1,5	5	3	2	3	3	1	3	4	3	4	5	5	R1, R2	n/a
sub-pa4387	4,6,5,1,3,2	4	1	1	2	5	1	5	5	4	4	5	3	n/a	n/a
sub-pa4398	2,1,6,3,5,4	4	1	3	3	5	1	5	5	2	4	1	1	n/a	incredulous
sub-pa4404	3,1,2,4,6,5	5	4	1	3	3	1	4	4	3	5	4	4	n/a	aghast, despondent, incredulous
sub-pa4418	4,5,6,1,3,2	3	1	3	1	2	1	4	3	2	5	5	2	R1	n/a
sub-pa4422	6,4,2,3,1,5	5	3	4	4	3	1	5	2	1	5	4	2	n/a	incredulous
sub-pa4456	3,6,2,5,4,1	5	2	4	2	5	1	3	5	4	4	3	1	n/a	n/a
sub-pa4464	5,1,3,4,6,2	5	2	1	2	3	1	5	5	2	4	5	3	R1	n/a
sub-pa4487	5,4,1,3,6,2	5	2	4	1	1	1	4	5	5	5	5	5	n/a	n/a
sub-pa4506	2,1,5,4,3,6	5	1	4	4	1	1	2	5	5	5	5	5	card guessing, R1	pensive
sub-pa4521	2,4,1,6,3,5	5	4	4	4	4	1	5	5	4	5	5	4	n/a	n/a
sub-pa4527	5,6,2,4,3,1	5	3	2	2	2	2	2	2	2	2	2	2	n/a	n/a
sub-pa4534	4,2,6,3,1,5	4	2	4	5	2	1	4	3	3	5	3	5	n/a	aghast, pensive
sub-pa4552	6,1,4,3,5,2	5	3	3	2	4	1	2	5	5	2	5	5	R2	n/a
sub-pa4587	2,4,5,1,6,3	4	3	2	2	1	1	4	2	2	2	3	3	n/a	n/a
sub-pa4589	3,2,5,4,6,1	4	2	4	5	3	1	4	5	4	3	4	3	n/a	n/a
sub-pa4601	2,3,6,1,5,4	3	2	3	1	1	1	4	4	2	3	3	4	n/a	n/a
sub-pa4605	5,2,3,1,4,6	5	2	1	3	2	1	5	3	1	5	5	4	n/a	n/a
sub-pa4630	3,4,5,6,2,1	5	1	3	1	1	1	5	4	1	3	2	3	n/a	n/a
sub-pa4640	3,5,6,1,2,4	2	3	2	3	3	1	3	5	3	3	3	4	Nback	aghast, arrogant, baffled, contemplative, contented, decisive, defiant, despondent, dispirited, earnest, imploring, incredulous, indecisive, pensive, perplexed, stern, sympathetic, tentative
sub-pa4653	3,1,4,5,6,2	3	2	n/a	3	3	1	2	3	1	2	4	3	n/a	n/a
sub-pa4691	6,2,5,4,3,1	1	1	1	1	1	1	5	5	5	5	5	5	n/a	aghast, imploring, incredulous, perplexed
sub-pa4698	2,4,1,3,5,6	4	3	5	2	5	1	2	3	3	5	1	5	R2	n/a
sub-pa4712	1,4,6,5,3,2	2	2	3	2	5	1	5	5	5	5	5	5	n/a	aghast, incredulous
sub-pa4716	2,3,5,1,4,6	4	2	1	3	4	1	3	4	5	5	5	2	n/a	pensive
sub-pa4732	4,1,3,6,2,5	5	2	1	3	2	1	3	5	2	5	3	5	n/a	pensive
sub-pa4735	2,1,6,4,3,5	5	2	3	2	2	1	5	5	5	5	5	3	n/a	n/a
sub-pa4746	3,6,1,5,4,2	4	2	3	2	4	1	4	3	2	3	4	1	R2	n/a
sub-pa4752	3,5,2,1,4,6	5	3	3	4	2	1	4	4	2	3	4	5	n/a	dubious
sub-pa4763	4,3,6,5,2,1	4	1	1	3	3	1	2	5	5	3	3	5	n/a	n/a
sub-pa4768	6,5,2,1,4,3	5	2	4	3	4	1	3	5	3	5	4	2	n/a	n/a
sub-pa4781	2,1,4,5,6,3	5	2	4	1	2	1	3	5	4	5	2	4	n/a	pensive, tentative
sub-pa4795	3,1,6,5,2,4	3	2	2	2	5	3	3	4	5	4	2	2	n/a	n/a
sub-pa4798	6,1,2,3,4,5	4	2	2	3	4	1	3	5	3	4	2	5	n/an	aghast, dubious, incredulous
sub-pa4811	1,5,2,4,6,3	2	1	2	1	1	1	4	4	3	4	4	4	n/a	n/a
sub-pa4816	1,3,6,4,5,2	5	1	4	4	2	1	5	5	2	3	5	5	card guessing, gradCPT, R1	n/a
sub-pa4833	2,3,6,5,1,4	3	1	2	2	3	1	2	5	5	4	3	5	n/a	imploring
sub-pa4839	2,1,3,4,5,6	3	2	5	5	4	1	3	5	4	4	2	5	eyes	n/a
sub-pa4867	3,5,4,6,2,1	4	2	3	1	1	1	5	2	1	5	5	5	Nback, movies	aghast, baffled, dubious, imploring, pensive
sub-pa4875	2,6,4,5,3,1	1	2	3	2	2	1	2	4	5	3	4	5	n/a	n/a
sub-pa4877	2,4,6,1,3,5	5	2	2	1	2	1	1	3	1	4	3	1	n/a	n/a
sub-pa4880	4,6,2,1,3,5	5	1	2	1	1	1	1	5	5	4	2	5	n/a	n/a
sub-pa4888	3,4,5,1,2,6	5	2	3	3	3	1	5	4	4	5	5	5	SST, R2	n/a
sub-pa4891	2,6,4,3,5,1	3	3	3	3	3	3	1	1	1	1	1	1	Nback, card guessing, gradCPT, eyes, movies, R1, R2	despondent, pensive
sub-pa4894	6,3,2,4,5,1	4	2	3	3	5	1	3	3	2	3	4	4	R1	contented, dispirited, imploring, incredulous, pensive
sub-pa4907	2,6,5,1,3,4	4	3	5	1	5	1	5	5	5	5	5	5	n/a	n/a
sub-pa4911	3,4,6,2,5,1	2	3	4	1	2	1	3	4	5	5	3	5	n/a	aghast
sub-pa4924	6,3,1,4,5,2	5	3	4	2	4	1	4	4	4	3	3	4	n/a	n/a
sub-pa4928	2,5,3,4,1,6	2	2	2	2	2	2	3	3	3	3	3	3	eyes, R1	n/a
sub-pa4941	3,1,4,2,6,5	5	2	2	3	3	1	5	5	5	5	5	5	R1	n/a
