participant_id	Task_order	Task_difficulty_nback	Task_difficulty_SST	Task_difficulty_card	Task_difficulty_gradCPT	Task_difficulty_eyes	Task_difficulty_movie	Task_engagement_wm	Task_engagement_SST	Task_engagement_card	Task_engagement_gradCPT	Task_engagement_eyes	Task_engagement_movies	SleepRuns	eyes_words_DK
sub-pa0475	4,2,1,3,6,5	5	2	1	2	1	1	5	4	1	2	3	1	n/a	pensive
sub-pa0553	2,5,4,3,6,1	5	2	2	2	2	1	5	4	4	4	4	2	n/a	n/a
sub-pa0571	5,1,3,2,4,6	5	2	1	3	3	1	4	4	2	4	3	2	n/a	despondent
sub-pa0608	5,4,1,2,3,6	4	3	4	2	3	1	4	5	4	5	4	4	n/a	n/a
sub-pa0645	4,6,3,1,2,5	4	2	3	5	4	1	5	5	5	4	4	1	movie, R2	despondent,pensive
sub-pa0654	2,6,3,1,4,5	4	3	5	3	3	1	5	5	5	5	5	4	n/a	n/a
sub-pa0668	6,4,5,2,1,7,3	5	2	5	3	3	1	4	3	2	4	2	3	n/a	n/a
sub-pa0772	1,5,3,6,4,2	3	4	3	5	5	1	2	3	5	5	4	1	Nback	incredulous, stern, tentative
sub-pa0831	4,1,2,6,3,5	5	1	1	5	5	1	5	1	1	5	5	1	Nback, SST, card guessing, gradCPT, eyes, movies, R1, R2	aghast,despondent,dispirited,distrustful,dubious,earnest,imploring,incredulous,pensive,perplexed,stern
sub-pa0876	5,4,6,3,1,2	5	2	1	3	4	1	5	3	1	2	4	5	n/a	n/a
sub-pa0890	4,2,1,5,3,6	5	2	2	3	3	1	4	5	4	5	4	4	n/a	n/a
sub-pa0904	3,2,6,5,1,4	5	2	1	2	3	1	4	5	2	3	5	4	n/a	n/a
sub-pa0921	5,1,2,6,4,3	4	1	3	2	2	1	5	5	5	5	5	5	R1, R2	aghast,earnest
sub-pa0938	4,5,3,2,6,1	4	1	2	2	1	1	2	2	3	3	3	2	n/a	n/a
sub-pa0950	6, bad 4 (exclude), 1, 5, 7, 2, 3	5	2	2	5	2	1	4	5	4	4	1	3	n/a	aghast, contemplative, incredulous
sub-pa0955	6,2,3,1,5,4	5	2	3	2	2	1	4	5	2	5	5	5	R1, R2	despondent,dubious
sub-pa0989	1,5,3,2,4,6	5	2	1	4	2	1	4	3	2	3	5	5	n/a	n/a
sub-pa1033	3,2,5,1,6,4	4	5	5	5	5	1	2	3	2	3	5	5	Nback, SST, card guessing, gradCPT, eyes, R1, R2	despondent,pensive
sub-pa1055	4,5,1,6,3,2	3	2	4	4	2	1	4	5	2	4	4	4	R1	n/a
sub-pa1099	5,6,4,3,2,1	4	2	3	1	2	1	5	4	2	5	3	3	n/a	despondent
sub-pa1133	6,3,4,5,1,2	5	3	2	4	4	1	4	4	4	3	3	4	n/a	n/a
sub-pa1149	4,1,6,2,5,3	5	2	5	3	3	1	3	2	1	1	4	3	card guessing, gradCPT, R1, R2	aghast,incredulous
sub-pa1171	1,6,3,4,2,5	4	4	3	3	3	3	4	2	3	5	2	2	Nback, SST, card guessing, gradCPT, eyes, movies, R1, R2	n/a
sub-pa1187	2,6,3,4,5,1	4	1	3	4	2	1	2	4	2	1	3	3	Nback, card guessing, gradCPT, R1	n/a
sub-pa1197	6,2,4,5,1,3	4	3	4	3	2	1	5	4	5	4	4	4	n/a	n/a
sub-pa1217	6,1,4,5,2,3	4	3	5	4	4	1	5	5	3	5	5	5	n/a	n/a
sub-pa1248	2,1,3,5,4,6	3	2	1	2	1	1	5	5	3	5	4	4	R2	n/a
sub-pa1263	3,6,2,1,5,4	5	2	3	2	1	1	2	3	3	4	4	4	n/a	n/a
sub-pa1267	1,5,3,6,2,4	3	1	2	1	2	1	4	4	4	4	4	4	n/a	aghast, dubious, incredulous
sub-pa1300	5,2,6,4,1,3	5	3	2	5	3	1	5	5	4	5	5	5	n/a	dubious, incredulous
sub-pa1303	4,6,2,1,5,3	5	1	1	3	4	1	4	4	2	3	5	3	R2	n/a
